CODE;LOGIN;NOM;PRENOM;PROMO;GROUPE;LV2;ALTERNANT;OPTION
20170204;i170204;NOM200;PRENOM200;LP;LP;;OUI;
20170201;i170201;NOM201;PRENOM201;LP;LP;;OUI;
20170205;i170205;NOM202;PRENOM202;LP;LP;;OUI;
20170209;i170209;NOM203;PRENOM203;LP;LP;;OUI;
20170202;i170202;NOM204;PRENOM204;LP;LP;;OUI;
20170217;i170217;NOM205;PRENOM205;LP;LP;;OUI;
20170212;i170212;NOM206;PRENOM206;LP;LP;;OUI;
20170214;i170214;NOM207;PRENOM207;LP;LP;;OUI;
20170210;i170210;NOM208;PRENOM208;LP;LP;;OUI;
20170216;i170216;NOM209;PRENOM209;LP;LP;;OUI;
20170213;i170213;NOM210;PRENOM210;LP;LP;;NON;
20170215;i170215;NOM211;PRENOM211;LP;LP;;OUI;
20170200;i170200;NOM212;PRENOM212;LP;LP;;OUI;
20170208;i170208;NOM213;PRENOM213;LP;LP;;NON;
20170207;i170207;NOM214;PRENOM214;LP;LP;;NON;
20170211;i170211;NOM215;PRENOM215;LP;LP;;OUI;
20170206;i170206;NOM216;PRENOM216;LP;LP;;NON;
20170203;i170203;NOM217;PRENOM217;LP;LP;;OUI;
;;;;;;;;
;; ;;;;;;
